harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat,email
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
NA,0,21,16,Slghtly conservative,Agree,No,No,Working fulltime,1260
No,0,10,19,Slghtly conservative,NA,No,No,Working fulltime,600
NA,0,5,12,Moderate,Agree,NA,NA,Working fulltime,300
NA,0,0,6,NA,Agree,NA,NA,Keeping house,0
NA,0,2,16,Liberal,Agree,NA,NA,Working fulltime,120
NA,0,1,12,Liberal,Agree,Yes,Yes,Keeping house,60
NA,0,2,6,Extrmly conservative,Agree,NA,NA,Working fulltime,120
No,0,0,12,Moderate,NA,No,No,Keeping house,0
NA,0,20,14,Moderate,Strongly agree,NA,NA,Working fulltime,1200
NA,0,8,17,Liberal,Strongly agree,NA,NA,Working fulltime,480
Yes,0,8,14,Extremely liberal,NA,NA,NA,Working fulltime,480
NA,0,1,16,Slightly liberal,Agree,NA,NA,"Unempl, laid off",60
NA,0,2,14,Moderate,Agree,NA,NA,Retired,120
Yes,15,20,13,Moderate,NA,No,Yes,Working parttime,1215
NA,0,5,15,Moderate,Strongly agree,Yes,Yes,Working fulltime,300
No,0,1,14,Conservative,NA,NA,NA,Working fulltime,60
NA,0,10,16,Slightly liberal,Agree,No,No,Working fulltime,600
NA,0,0,13,Conservative,Agree,NA,NA,Keeping house,0
NA,0,2,12,Conservative,Agree,NA,NA,Working fulltime,120
NA,0,6,13,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,360
No,30,1,13,Slightly liberal,NA,Yes,No,Keeping house,90
NA,0,6,6,Liberal,Disagree,NA,NA,Working parttime,360
NA,0,2,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime,120
NA,0,1,18,Moderate,Strongly agree,No,No,Working fulltime,60
No,0,45,16,Liberal,NA,Yes,Yes,Working fulltime,2700
No,0,5,14,Moderate,NA,No,Yes,Working fulltime,300
No,0,1,14,Conservative,NA,NA,NA,Working parttime,60
NA,0,22,14,Extremely liberal,Strongly agree,NA,NA,Working fulltime,1320
NA,0,1,14,Liberal,Strongly agree,NA,NA,Working fulltime,60
NA,0,2,11,Liberal,Strongly agree,No,No,Keeping house,120
NA,0,2,13,Slghtly conservative,Agree,NA,NA,Retired,120
NA,0,0,12,Moderate,Disagree,No,No,Keeping house,0
No,0,1,13,Liberal,NA,Yes,Yes,School,60
NA,0,4,12,Slghtly conservative,Disagree,Yes,Yes,Working parttime,240
NA,0,20,15,Slightly liberal,Agree,NA,NA,Working fulltime,1200
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,2,14,Moderate,Agree,NA,NA,Working fulltime,120
Does not apply (i do not have a job/superior/co-worker),0,0,13,Slightly liberal,NA,Yes,No,Retired,0
NA,0,1,16,Moderate,Disagree,No,Yes,Working fulltime,60
Yes,0,3,11,Slghtly conservative,NA,NA,NA,Working fulltime,180
NA,0,0,13,Moderate,Agree,NA,NA,Retired,0
No,0,20,17,Moderate,NA,No,No,Working fulltime,1200
No,30,1,12,Liberal,NA,NA,NA,Working fulltime,90
NA,0,70,14,NA,Agree,NA,NA,Working fulltime,4200
NA,0,20,13,Moderate,Disagree,NA,NA,Working fulltime,1200
No,0,3,12,Moderate,NA,No,Yes,Working fulltime,180
NA,2,0,11,Moderate,Agree,No,Yes,School,2
NA,0,0,8,Moderate,Agree,Yes,Yes,"Unempl, laid off",0
NA,0,1,14,NA,Agree,NA,NA,Working parttime,60
NA,25,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime,25
NA,0,1,16,Moderate,Agree,No,No,Working parttime,60
NA,0,1,16,Moderate,Agree,NA,NA,Retired,60
NA,0,4,12,Liberal,Strongly agree,NA,NA,Retired,240
NA,0,3,14,Liberal,Agree,Yes,Yes,Working parttime,180
NA,30,0,12,Conservative,Agree,NA,NA,Working fulltime,30
NA,0,1,16,Slghtly conservative,Agree,NA,NA,Retired,60
NA,0,0,12,Slghtly conservative,Strongly agree,NA,NA,Retired,0
NA,0,50,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,3000
NA,10,1,12,Slightly liberal,Strongly agree,No,No,"Unempl, laid off",70
NA,0,1,19,Moderate,Strongly agree,NA,NA,Working fulltime,60
NA,0,5,12,Slightly liberal,Agree,Yes,Yes,School,300
NA,0,20,17,Extremely liberal,Strongly agree,NA,NA,Working fulltime,1200
NA,0,20,16,Slightly liberal,Strongly agree,No,No,Working fulltime,1200
No,0,2,12,Moderate,NA,NA,NA,Working fulltime,120
NA,0,0,16,Conservative,Disagree,NA,NA,Retired,0
NA,0,6,12,Liberal,Agree,NA,NA,Retired,360
NA,0,10,14,Conservative,Agree,NA,NA,Working fulltime,600
NA,0,14,16,Slightly liberal,Strongly agree,NA,NA,Retired,840
NA,0,8,16,Slightly liberal,Agree,No,No,Working fulltime,480
Yes,0,1,16,Conservative,NA,NA,NA,Working fulltime,60
NA,20,0,11,NA,Disagree,NA,NA,Working fulltime,20
NA,30,1,12,Moderate,Strongly agree,NA,NA,Working fulltime,90
NA,0,0,12,Liberal,Agree,NA,NA,Retired,0
Yes,0,30,18,Conservative,NA,No,Yes,Working fulltime,1800
NA,0,2,18,Slghtly conservative,Agree,NA,NA,Working parttime,120
NA,0,5,12,Slightly liberal,Strongly agree,NA,NA,"Unempl, laid off",300
NA,0,1,12,Extrmly conservative,Disagree,No,No,Working parttime,60
NA,20,0,12,Moderate,Agree,NA,NA,Retired,20
No,0,6,14,Slightly liberal,NA,Yes,Yes,Working fulltime,360
NA,0,40,15,Moderate,Agree,NA,NA,Working fulltime,2400
Yes,0,50,16,Moderate,NA,No,No,Working fulltime,3000
NA,0,3,16,Moderate,Strongly agree,NA,NA,Working fulltime,180
NA,0,10,16,Slightly liberal,Strongly agree,Yes,Yes,Working fulltime,600
NA,0,0,12,Moderate,Agree,NA,NA,Keeping house,0
Yes,40,0,12,Slightly liberal,NA,No,Yes,Working fulltime,40
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
NA,0,15,18,Moderate,Agree,NA,NA,Working fulltime,900
No,0,10,13,Slightly liberal,NA,No,No,School,600
NA,0,1,16,Liberal,Strongly agree,No,Yes,"Unempl, laid off",60
NA,15,0,14,Moderate,Strongly agree,NA,NA,Retired,15
NA,0,0,15,Slightly liberal,Agree,NA,NA,Working fulltime,0
Does not apply (i do not have a job/superior/co-worker),0,5,18,Moderate,NA,No,No,Retired,300
NA,0,0,12,Moderate,Strongly agree,No,No,Retired,0
No,0,20,13,Moderate,NA,NA,NA,Working fulltime,1200
No,30,0,19,Moderate,NA,No,No,Retired,30
NA,0,2,17,Liberal,Agree,NA,NA,Retired,120
NA,0,0,13,Moderate,Strongly agree,NA,NA,Working parttime,0
NA,0,20,17,Moderate,Strongly agree,NA,NA,Working fulltime,1200
No,45,0,16,Liberal,NA,No,No,Working parttime,45
NA,0,15,16,Moderate,Strongly agree,NA,NA,Working fulltime,900
NA,0,25,16,Moderate,Strongly agree,NA,NA,Working fulltime,1500
NA,0,8,14,Slightly liberal,Disagree,NA,NA,Working fulltime,480
No,0,25,15,Moderate,NA,No,No,Working parttime,1500
NA,0,5,14,Slghtly conservative,Agree,NA,NA,Working fulltime,300
NA,0,2,12,Slghtly conservative,Agree,No,Yes,Working fulltime,120
NA,0,1,15,Slightly liberal,Agree,NA,NA,Retired,60
NA,30,0,16,Slghtly conservative,Agree,NA,NA,Retired,30
NA,0,4,14,Conservative,Dont know,No,No,Keeping house,240
No,10,0,14,Liberal,NA,No,No,Working parttime,10
No,0,10,18,Liberal,NA,NA,NA,Working fulltime,600
NA,0,10,16,Moderate,Strongly agree,NA,NA,Working fulltime,600
NA,0,12,13,Moderate,Agree,NA,NA,Working parttime,720
Yes,0,0,13,Slightly liberal,NA,No,No,School,0
NA,0,2,10,Liberal,Disagree,No,No,Other,120
NA,0,1,11,Moderate,Agree,NA,NA,Retired,60
No,0,10,12,Moderate,NA,No,No,Working fulltime,600
No,0,1,16,Conservative,NA,Yes,Yes,Temp not working,60
NA,0,2,13,Conservative,Strongly agree,NA,NA,Working parttime,120
NA,0,0,17,Moderate,Agree,No,No,Working fulltime,0
Yes,0,3,20,Liberal,NA,No,No,Keeping house,180
NA,0,1,12,Slghtly conservative,Agree,NA,NA,Keeping house,60
NA,0,5,18,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,300
NA,0,1,12,Slightly liberal,Agree,No,Yes,Keeping house,60
NA,0,20,17,Slghtly conservative,Strongly agree,NA,NA,Retired,1200
No,10,1,16,Slightly liberal,NA,No,No,Working fulltime,70
NA,0,5,12,Moderate,Agree,NA,NA,School,300
NA,0,20,12,Conservative,Agree,NA,NA,Working fulltime,1200
NA,0,0,13,Moderate,Agree,NA,NA,Working fulltime,0
No,0,30,20,Liberal,NA,No,No,Working fulltime,1800
NA,0,1,11,Liberal,Strongly agree,Yes,Yes,Working parttime,60
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working fulltime,0
NA,0,0,13,Moderate,Strongly agree,NA,NA,Keeping house,0
NA,0,30,17,Moderate,Agree,NA,NA,Working fulltime,1800
NA,0,10,18,Moderate,Agree,NA,NA,Working fulltime,600
NA,0,7,17,Slghtly conservative,Disagree,NA,NA,Working fulltime,420
NA,0,40,17,NA,Strongly agree,NA,NA,Working fulltime,2400
No,0,1,14,Moderate,NA,NA,NA,Working fulltime,60
No,0,1,16,Moderate,NA,No,No,Working fulltime,60
NA,0,40,14,NA,Agree,NA,NA,Working fulltime,2400
NA,0,35,12,NA,Disagree,NA,NA,Keeping house,2100
NA,0,2,14,Moderate,Agree,NA,NA,Working fulltime,120
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime,120
No,0,0,12,Liberal,NA,NA,NA,Keeping house,0
NA,0,1,12,Moderate,Disagree,NA,NA,Working parttime,60
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working parttime,0
NA,30,0,16,Conservative,Agree,NA,NA,Working fulltime,30
No,30,0,15,Slghtly conservative,NA,NA,NA,Working fulltime,30
NA,30,0,14,Moderate,Strongly agree,NA,NA,Keeping house,30
No,0,1,19,Moderate,NA,No,No,Working fulltime,60
NA,0,1,13,Moderate,Strongly agree,NA,NA,Working parttime,60
NA,0,3,12,Moderate,Agree,Yes,No,Working parttime,180
NA,0,12,12,Moderate,Strongly agree,NA,NA,Working fulltime,720
Yes,30,0,14,Slghtly conservative,NA,NA,NA,Working parttime,30
NA,0,5,16,Liberal,Strongly agree,No,No,Working fulltime,300
NA,0,30,13,Moderate,Strongly agree,NA,NA,Working fulltime,1800
NA,30,0,12,Moderate,Disagree,NA,NA,"Unempl, laid off",30
NA,0,3,11,Slightly liberal,Agree,NA,NA,Working fulltime,180
No,0,3,12,Conservative,NA,NA,NA,Retired,180
NA,0,30,12,Moderate,Agree,NA,NA,Working fulltime,1800
NA,0,15,17,NA,Agree,Yes,Yes,"Unempl, laid off",900
NA,0,10,17,Moderate,Strongly agree,NA,NA,Working fulltime,600
NA,0,4,12,Moderate,Agree,NA,NA,"Unempl, laid off",240
NA,0,4,12,Moderate,Agree,NA,NA,Retired,240
NA,0,0,16,Conservative,Agree,NA,NA,Retired,0
Yes,0,1,12,Slghtly conservative,NA,No,No,Working fulltime,60
NA,30,0,20,Moderate,Agree,NA,NA,Working fulltime,30
NA,0,1,16,Conservative,Agree,No,No,Working fulltime,60
NA,0,6,18,Liberal,Agree,NA,NA,Retired,360
Yes,0,15,19,Liberal,NA,No,No,Working fulltime,900
NA,0,1,11,Extremely liberal,Agree,NA,NA,Working fulltime,60
NA,0,5,20,Liberal,Agree,No,No,Temp not working,300
NA,0,1,16,Moderate,Disagree,NA,NA,"Unempl, laid off",60
Yes,0,2,15,Moderate,NA,No,No,Working fulltime,120
NA,0,15,16,Slghtly conservative,Strongly agree,NA,NA,Temp not working,900
No,0,4,15,Slghtly conservative,NA,No,No,Working fulltime,240
NA,0,47,12,Slightly liberal,Strongly agree,NA,NA,Working fulltime,2820
NA,0,40,10,Moderate,Disagree,Yes,No,Working fulltime,2400
Yes,0,8,17,Slghtly conservative,NA,No,No,Working fulltime,480
NA,30,0,14,Moderate,Strongly agree,Yes,Yes,Working parttime,30
NA,30,1,14,NA,Agree,NA,NA,Working fulltime,90
No,0,12,19,Conservative,NA,Yes,No,Working fulltime,720
NA,0,8,18,Extremely liberal,Strongly agree,NA,NA,"Unempl, laid off",480
NA,0,20,17,Liberal,Agree,No,No,Working fulltime,1200
NA,0,1,16,Slghtly conservative,Agree,NA,NA,Working fulltime,60
No,0,2,16,Extremely liberal,NA,No,Yes,Working parttime,120
NA,0,10,20,Slightly liberal,Agree,No,No,Working fulltime,600
No,0,15,13,Moderate,NA,No,No,Retired,900
NA,0,20,18,Slghtly conservative,Strongly agree,No,Yes,Working fulltime,1200
NA,0,15,16,Moderate,Agree,NA,NA,Working fulltime,900
NA,0,10,17,Moderate,Strongly agree,Yes,Yes,Working fulltime,600
Yes,0,5,16,Liberal,NA,No,No,Working fulltime,300
NA,0,1,16,Liberal,Agree,NA,NA,Working fulltime,60
NA,0,1,20,Liberal,Agree,NA,NA,Retired,60
No,0,2,13,Liberal,NA,Yes,No,Working parttime,120
NA,0,2,12,Extrmly conservative,Disagree,NA,NA,Working fulltime,120
NA,0,2,16,Moderate,Strongly agree,No,No,Retired,120
NA,0,15,16,Conservative,Agree,NA,NA,Working fulltime,900
NA,30,1,16,Slightly liberal,Disagree,NA,NA,Working fulltime,90
No,30,8,19,Moderate,NA,No,No,Working fulltime,510
NA,0,1,16,Moderate,Agree,NA,NA,Retired,60
NA,0,17,17,Extremely liberal,Strongly agree,NA,NA,Working parttime,1020
Does not apply (i do not have a job/superior/co-worker),0,2,15,Extremely liberal,NA,NA,NA,Retired,120
NA,0,2,16,Conservative,Agree,NA,NA,Retired,120
No,0,30,16,Liberal,NA,No,No,Working fulltime,1800
NA,0,0,14,Moderate,Strongly agree,NA,NA,Retired,0
NA,0,7,12,Moderate,Agree,NA,NA,Working parttime,420
Yes,0,10,18,Liberal,NA,No,No,Working fulltime,600
NA,0,1,12,Liberal,Agree,NA,NA,Working parttime,60
NA,0,0,9,Moderate,Strongly agree,NA,NA,"Unempl, laid off",0
NA,0,2,14,Moderate,Disagree,NA,NA,Working fulltime,120
NA,0,8,12,Conservative,Strongly agree,NA,NA,Working fulltime,480
NA,0,0,9,Moderate,Strongly agree,NA,NA,Retired,0
NA,0,2,16,Conservative,Agree,NA,NA,Working fulltime,120
No,0,0,11,Extrmly conservative,NA,NA,NA,Keeping house,0
NA,0,1,14,Moderate,Strongly agree,NA,NA,Working fulltime,60
NA,0,2,13,Moderate,Agree,No,No,Working fulltime,120
NA,30,0,16,Moderate,Agree,NA,NA,Working fulltime,30
NA,0,40,16,Conservative,Strongly agree,NA,NA,Retired,2400
NA,0,0,9,Moderate,Disagree,NA,NA,Keeping house,0
No,0,1,12,Moderate,NA,No,No,Working parttime,60
NA,20,0,13,Moderate,Agree,NA,NA,Working fulltime,20
NA,30,0,20,Liberal,Strongly agree,NA,NA,Retired,30
NA,0,2,12,Slightly liberal,Agree,NA,NA,Working fulltime,120
No,0,0,11,Moderate,NA,No,No,Temp not working,0
NA,0,1,12,Conservative,Disagree,No,No,Keeping house,60
Yes,0,15,12,Slghtly conservative,NA,NA,NA,Working fulltime,900
NA,0,1,15,Moderate,Disagree,No,No,Working parttime,60
NA,30,9,19,Liberal,Agree,NA,NA,Retired,570
No,0,3,20,Conservative,NA,No,No,Retired,180
NA,10,0,12,Slghtly conservative,Strongly agree,NA,NA,Keeping house,10
NA,30,0,12,Extrmly conservative,Strongly agree,NA,NA,Retired,30
No,0,5,12,Slghtly conservative,NA,No,No,Working fulltime,300
NA,0,2,12,NA,Strongly agree,NA,NA,Working fulltime,120
NA,0,1,13,Conservative,Agree,No,No,Keeping house,60
No,30,1,15,Moderate,NA,NA,NA,Other,90
NA,0,0,12,Slghtly conservative,Agree,NA,NA,Retired,0
No,30,2,16,Liberal,NA,No,No,Working parttime,150
NA,0,7,16,Extremely liberal,Strongly agree,NA,NA,Temp not working,420
NA,0,2,15,Slghtly conservative,Agree,No,No,Retired,120
No,0,4,13,Extrmly conservative,NA,NA,NA,Retired,240
NA,0,0,15,Moderate,Agree,NA,NA,Retired,0
NA,0,20,14,Slightly liberal,Strongly agree,NA,NA,Working parttime,1200
No,0,2,17,Slightly liberal,NA,Yes,Yes,School,120
NA,0,1,12,Liberal,Agree,NA,NA,School,60
NA,0,1,12,Liberal,Agree,No,Yes,Keeping house,60
NA,10,0,9,Liberal,Disagree,NA,NA,Working parttime,10
NA,0,40,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,2400
NA,0,3,13,Moderate,Strongly agree,NA,NA,Working fulltime,180
NA,15,0,14,Slightly liberal,Agree,NA,NA,Retired,15
No,0,1,12,Moderate,NA,Yes,Yes,Working parttime,60
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime,60
NA,45,1,16,Extrmly conservative,Agree,NA,NA,Working fulltime,105
No,15,0,12,Moderate,NA,No,No,Keeping house,15
NA,20,0,14,Moderate,Strongly agree,NA,NA,Temp not working,20
Yes,0,1,12,Moderate,NA,No,Yes,Temp not working,60
NA,0,2,10,Moderate,Agree,NA,NA,Working parttime,120
No,0,1,12,Conservative,NA,No,No,Working fulltime,60
No,20,0,12,Moderate,NA,No,No,Working fulltime,20
NA,0,4,12,Conservative,Agree,NA,NA,Retired,240
NA,0,25,12,Slightly liberal,Agree,NA,NA,Working fulltime,1500
No,0,5,16,Moderate,NA,Yes,Yes,Working fulltime,300
NA,0,1,13,Moderate,Strongly agree,No,No,Working fulltime,60
No,0,40,11,Moderate,NA,Yes,Yes,Working fulltime,2400
NA,0,40,12,Moderate,Agree,NA,NA,Working fulltime,2400
NA,0,2,14,Conservative,Strongly agree,NA,NA,Working fulltime,120
Yes,0,7,12,NA,NA,No,No,Working fulltime,420
NA,0,14,16,Extremely liberal,Agree,NA,NA,Working fulltime,840
NA,0,5,12,Extrmly conservative,Agree,No,No,Keeping house,300
NA,0,10,20,Extremely liberal,Strongly agree,NA,NA,Working fulltime,600
No,0,1,15,Moderate,NA,Yes,Yes,Working fulltime,60
NA,0,2,16,Slghtly conservative,Disagree,No,Yes,Temp not working,120
NA,0,15,16,Slghtly conservative,Agree,NA,NA,Working fulltime,900
NA,0,1,11,Moderate,Agree,NA,NA,Retired,60
NA,5,0,13,Liberal,Strongly agree,NA,NA,Working fulltime,5
NA,0,0,16,Extrmly conservative,Agree,NA,NA,Retired,0
NA,0,12,17,Extremely liberal,Agree,NA,NA,"Unempl, laid off",720
NA,0,6,11,Slightly liberal,Strongly agree,NA,NA,Working fulltime,360
NA,0,1,12,Conservative,Agree,NA,NA,Retired,60
No,0,15,13,Slightly liberal,NA,No,No,Retired,900
NA,0,0,15,Liberal,Agree,No,No,Retired,0
NA,10,0,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,10
No,0,1,12,Conservative,NA,No,No,Working fulltime,60
No,0,8,15,Liberal,NA,No,No,Working fulltime,480
NA,0,14,12,Slghtly conservative,Agree,NA,NA,Working fulltime,840
NA,0,10,16,Moderate,Agree,NA,NA,Working fulltime,600
NA,30,1,11,Slightly liberal,Agree,NA,NA,"Unempl, laid off",90
Yes,15,0,14,Moderate,NA,No,No,Working fulltime,15
No,0,2,16,Slghtly conservative,NA,No,No,Working fulltime,120
NA,1,0,7,NA,Strongly agree,NA,NA,Retired,1
No,5,0,12,Slghtly conservative,NA,No,No,Retired,5
NA,30,0,12,Moderate,Agree,NA,NA,Working fulltime,30
NA,0,0,16,Slghtly conservative,Disagree,NA,NA,Retired,0
NA,0,20,14,Moderate,Agree,No,No,Working fulltime,1200
No,0,0,12,Slightly liberal,NA,NA,NA,Working fulltime,0
NA,0,10,13,Liberal,Strongly agree,NA,NA,Retired,600
No,10,0,11,Moderate,NA,No,No,Working fulltime,10
No,0,0,14,Liberal,NA,No,No,"Unempl, laid off",0
NA,0,25,19,Slghtly conservative,Agree,NA,NA,Working fulltime,1500
NA,0,6,12,Slightly liberal,Strongly agree,NA,NA,Working fulltime,360
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime,120
No,0,0,16,Conservative,NA,NA,NA,Retired,0
NA,0,20,14,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,2,20,Slghtly conservative,Agree,No,Yes,Working fulltime,120
Yes,1,0,18,Liberal,NA,No,No,Working fulltime,1
NA,0,1,12,NA,Agree,Yes,No,"Unempl, laid off",60
No,0,1,14,Moderate,NA,Yes,Yes,Working parttime,60
No,0,0,12,Slghtly conservative,NA,No,No,Retired,0
NA,30,1,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,90
No,0,1,16,Slghtly conservative,NA,No,No,Working fulltime,60
NA,0,1,13,Conservative,Disagree,NA,NA,Working parttime,60
NA,0,35,16,Conservative,Agree,NA,NA,Working fulltime,2100
No,0,2,12,Moderate,NA,No,No,Working fulltime,120
NA,0,20,16,Liberal,Strongly agree,NA,NA,Working fulltime,1200
No,30,1,13,Moderate,NA,Yes,Yes,Working parttime,90
NA,0,10,16,Extremely liberal,Agree,No,Yes,Working fulltime,600
No,0,20,17,Slightly liberal,NA,Yes,Yes,Working fulltime,1200
NA,0,1,19,Slghtly conservative,Agree,NA,NA,Keeping house,60
No,0,4,18,Extrmly conservative,NA,Yes,No,Working parttime,240
NA,45,0,11,Slghtly conservative,Disagree,NA,NA,Working fulltime,45
NA,0,25,14,Conservative,Strongly agree,No,No,Working fulltime,1500
NA,0,3,16,Slghtly conservative,Agree,NA,NA,"Unempl, laid off",180
No,0,35,12,Moderate,NA,No,No,Working fulltime,2100
NA,0,0,12,Conservative,Disagree,NA,NA,Working fulltime,0
NA,0,0,12,Moderate,Strongly agree,NA,NA,Keeping house,0
NA,0,70,14,Moderate,Agree,NA,NA,Working fulltime,4200
NA,0,1,16,Moderate,Disagree,Yes,Yes,School,60
Yes,0,1,12,Moderate,NA,No,No,Working fulltime,60
No,0,5,20,Liberal,NA,Yes,Yes,Temp not working,300
NA,0,48,8,Moderate,Strongly agree,Yes,No,Retired,2880
NA,0,0,8,Conservative,Agree,NA,NA,Keeping house,0
No,0,1,12,Slghtly conservative,NA,NA,NA,Working parttime,60
NA,0,28,12,Moderate,Agree,NA,NA,Other,1680
NA,0,6,14,Moderate,Strongly agree,No,No,Working fulltime,360
NA,0,20,20,Slightly liberal,Strongly agree,No,No,Working fulltime,1200
No,0,1,12,Extrmly conservative,NA,No,No,Retired,60
No,0,0,6,Moderate,NA,NA,NA,Working fulltime,0
NA,0,0,13,Slightly liberal,Agree,NA,NA,Retired,0
NA,30,0,16,Conservative,Agree,NA,NA,Working fulltime,30
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,1,11,Moderate,Agree,NA,NA,Working parttime,60
NA,0,25,13,Liberal,Agree,No,No,Working parttime,1500
NA,0,7,13,Moderate,Agree,NA,NA,Working fulltime,420
No,0,40,16,Slghtly conservative,NA,NA,NA,Working fulltime,2400
Yes,0,1,16,Conservative,NA,No,Yes,Working fulltime,60
NA,0,1,16,Conservative,Agree,NA,NA,Keeping house,60
NA,0,2,19,Slghtly conservative,Agree,No,Yes,Working parttime,120
NA,0,7,14,Liberal,Strongly agree,NA,NA,Working parttime,420
NA,0,1,9,Slghtly conservative,Agree,NA,NA,Working parttime,60
NA,0,3,12,Moderate,Strongly agree,NA,NA,Working fulltime,180
NA,0,1,12,Conservative,Agree,NA,NA,Retired,60
NA,0,3,12,Conservative,Strongly agree,NA,NA,Working fulltime,180
NA,0,30,17,Moderate,Agree,NA,NA,Working fulltime,1800
NA,30,1,16,Moderate,Agree,NA,NA,Retired,90
NA,0,20,16,Conservative,Strongly agree,Yes,Yes,Working fulltime,1200
NA,0,15,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime,900
No,0,3,18,Conservative,NA,No,No,Working fulltime,180
NA,0,20,18,Liberal,Agree,No,Yes,Working fulltime,1200
NA,0,0,19,Moderate,Agree,NA,NA,Retired,0
No,0,20,16,Slightly liberal,NA,No,No,Working fulltime,1200
No,0,10,12,Moderate,NA,Yes,Yes,Working parttime,600
NA,30,0,12,Liberal,Strongly agree,NA,NA,Working fulltime,30
No,30,0,12,Liberal,NA,Yes,Yes,Other,30
NA,0,20,16,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,1,14,Moderate,Agree,No,No,Working fulltime,60
NA,0,6,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime,360
No,0,4,12,Slghtly conservative,NA,No,No,Retired,240
Yes,15,0,12,Slghtly conservative,NA,NA,NA,Retired,15
NA,0,4,NA,Slghtly conservative,Disagree,No,Yes,NA,240
Yes,0,1,15,Conservative,NA,No,Yes,Working fulltime,60
NA,0,0,12,Conservative,Strongly agree,NA,NA,Working fulltime,0
NA,0,0,15,Moderate,Strongly agree,NA,NA,Retired,0
NA,30,0,12,Moderate,Agree,NA,NA,Other,30
NA,0,10,16,Conservative,Strongly agree,NA,NA,Working fulltime,600
No,0,2,9,Liberal,NA,No,No,Working fulltime,120
NA,0,2,13,Moderate,Strongly agree,NA,NA,Working fulltime,120
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
No,0,1,17,Extremely liberal,NA,No,No,Retired,60
NA,20,0,15,Liberal,Agree,NA,NA,"Unempl, laid off",20
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime,60
Yes,15,0,12,Moderate,NA,Yes,Yes,Working fulltime,15
NA,0,1,17,Extremely liberal,Agree,NA,NA,Working fulltime,60
NA,0,12,13,Conservative,Agree,Yes,Yes,School,720
NA,0,2,16,Moderate,Agree,NA,NA,"Unempl, laid off",120
No,0,2,13,Slightly liberal,NA,Yes,No,Working parttime,120
NA,0,7,16,Extremely liberal,Strongly agree,No,No,Working fulltime,420
NA,10,0,13,Extremely liberal,Disagree,NA,NA,Working parttime,10
Yes,0,5,17,Moderate,NA,Yes,Yes,School,300
NA,0,1,14,Moderate,Agree,NA,NA,Working parttime,60
NA,20,0,13,Liberal,Strongly agree,No,Yes,Working parttime,20
No,15,0,16,Slightly liberal,NA,No,No,Working fulltime,15
NA,0,0,7,Liberal,Strongly agree,NA,NA,Working fulltime,0
NA,0,4,14,Moderate,Agree,NA,NA,Keeping house,240
NA,0,20,20,Conservative,Disagree,NA,NA,Temp not working,1200
NA,0,30,15,Moderate,Agree,No,No,Retired,1800
NA,0,2,13,Slightly liberal,Agree,NA,NA,Working parttime,120
NA,30,0,12,Slghtly conservative,Agree,No,No,Working parttime,30
NA,0,0,11,Liberal,Agree,NA,NA,Keeping house,0
NA,0,1,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,60
NA,0,40,14,Moderate,Disagree,NA,NA,Working fulltime,2400
NA,0,16,14,Liberal,Disagree,NA,NA,Working fulltime,960
NA,0,3,12,Liberal,Agree,Yes,Yes,Working fulltime,180
NA,0,0,8,Slghtly conservative,Agree,NA,NA,Working fulltime,0
No,0,10,12,Liberal,NA,No,No,Retired,600
NA,0,15,13,Slightly liberal,Strongly agree,NA,NA,Working fulltime,900
NA,0,1,14,Slghtly conservative,Agree,NA,NA,Retired,60
NA,0,1,11,Moderate,Agree,NA,NA,Retired,60
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime,120
Does not apply (i do not have a job/superior/co-worker),50,0,12,Slghtly conservative,NA,NA,NA,Retired,50
No,0,40,19,Slightly liberal,NA,No,Yes,Working fulltime,2400
NA,0,0,8,Moderate,Agree,No,No,Retired,0
No,0,20,15,Moderate,NA,Yes,Yes,Working fulltime,1200
NA,0,5,12,Moderate,Strongly agree,NA,NA,Working fulltime,300
NA,0,4,16,Conservative,Agree,NA,NA,Retired,240
