Artist,Title,Date,Period,Description,Material,Collection,Classification,Signature,Accession Number,link,Dimensions,Subject,Alternative Title
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Landscape,1981,20th century; 1980s,"Abstract with predominantly black colour blocks and washes over ochre, rust and white.",canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0119,https://collections.ed.ac.uk/art/./record/521?highlight=*:*,NA,NA,NA
Robert Euman,Abstract Landscape,1990,20th century; 13,NA,oil paint (paint)/paint (coating); wood board/plant material/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3194,https://collections.ed.ac.uk/art/./record/22639?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Autumn,NA,NA,Abstract blocks of colour in greens and yellows,oil paint (paint)/paint (coating); cardboard/paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; oil paintings (visual works); Abstract (fine arts style),NA,EU0112,https://collections.ed.ac.uk/art/./record/439?highlight=*:*,NA,NA,NA
"Paresh Chandra Chakraborty (b.1934, d.2014)","Unknown, Abstract",NA,20th century,Abstract with geometric shapes in rich warm colours,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style); paintings (visual works); paintings 1901-2000; oil paintings (visual works),NA,EU4249,https://collections.ed.ac.uk/art/./record/99485?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Counterswirl (Rain in Ettrick),1965-1969,20th century; 1960s,"Abstract shapes in black, lilac, mauve, white, pink, blue and green",oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),On reverse,EU0109,https://collections.ed.ac.uk/art/./record/445?highlight=*:*,61.5x74.2 cm,NA,NA
Alan T. Johnston (b.1945),Abstract,NA,NA,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Edinburgh College of Art; Art Collection,paintings (visual works); acrylic; Abstract (fine arts style),NA,EU3164,https://collections.ed.ac.uk/art/./record/22609?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Terro Rosso,NA,20th century,Abstract shapes with greys and rusty reds,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Hope Scott Collection; Art Collection,paintings 1901-2000; Abstract (fine arts style),NA,EU0118,https://collections.ed.ac.uk/art/./record/467?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1976,20th century; 1970s,Abstract grey and black wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings),"Signed and dated, inscribed 'HS' on reserve.",EU0164,https://collections.ed.ac.uk/art/./record/423?highlight=*:*,77.5x57.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,abstract red wash,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in monogram.,EU0153,https://collections.ed.ac.uk/art/./record/437?highlight=*:*,77.5x57.2 cm,NA,NA
Unknown,Abstract in Yellow and Black,1991,20th century; 1990s,NA,ink/coating (material)/materials (substances); acrylic paint/paint (coating); plastic (organic material)/organic material/materials (substances),Art Collection; Edinburgh College of Art,mixed media works; Abstract (fine arts style),NA,EU3185,https://collections.ed.ac.uk/art/./record/22630?highlight=*:*,NA,NA,NA
Douglas Cook,Untitled,NA,NA,NA,oil paint (paint)/paint (coating); plywood/plant material/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3122,https://collections.ed.ac.uk/art/./record/22567?highlight=*:*,NA,NA,NA
Mohamed Ounouh (b.1964),Untitled (white dog),1991,20th century; 1990s,"tribal absract with thick black outlinescreating an angular space, coloured white with triangular yellow shape with dot representing an eye, and below a stripe funcioning as a mouth of a creature.",acrylic paint/paint (coating); hardboard/wood board/plant material/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,NA,EU1019,https://collections.ed.ac.uk/art/./record/20187?highlight=*:*,NA,abstract,NA
Maureen Marshall,Turquoise and Pink,Circa 1969,NA,NA,acrylic paint/paint (coating); paper (fibre product); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3101,https://collections.ed.ac.uk/art/./record/22546?highlight=*:*,NA,NA,NA
Charles K. S. Shaw,Abstract Composition in Yellow,Circa 1972,20th century; 1960s; 1970s,NA,charcoal (material)/plant material/materials (substances); canvas (textile material)/textile materials/materials (substances); acrylic paint/paint (coating),Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3154,https://collections.ed.ac.uk/art/./record/22599?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Earth Monument Lithograph No 1,1976,20th century; 1970s,Abstract black and grey wash.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,Abstract (fine arts style); prints (visual works); lithographs; print 1940-2000,"Signed and dated on the bottom right, inscribed 'six proofs, No.1' drawn in 1964.'",EU0173,https://collections.ed.ac.uk/art/./record/450?highlight=*:*,52x35.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",East Wind,1969,20th century; 1960s,"Random black shapes, dripped and scumbled.",canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0124,https://collections.ed.ac.uk/art/./record/610?highlight=*:*,246.3x139.7 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Ink Drawing,1971,20th century; 1970s,"Black ink, grey wash upper centre.",paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,Abstract (fine arts style); ink; paintings (visual works); paintings 1901-2000,In monogram bottom right.,EU0139,https://collections.ed.ac.uk/art/./record/368?highlight=*:*,34.2x23.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Composition,1970,20th century; 1970s,"Abstract composition resembling a landscape comprising blocks of colour in greys, greens and yellows",oil paint (paint)/paint (coating); canvas board/cardboard/paper (fibre product),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0106,https://collections.ed.ac.uk/art/./record/598?highlight=*:*,60.5x75 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Splash Drawing,1978,20th century; 1970s,Abstract black ink wash,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,Abstract (fine arts style); visual works (works); ink wash paintings; paintings (visual works); paintings 1901-2000,Signed in mongram and dated.,EU0172,https://collections.ed.ac.uk/art/./record/589?highlight=*:*,58.4x78.7 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Black Tree,1979,20th century; 1970s,Abstract black wash depicting a tree.,ink/coating (material)/materials (substances); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); ink; trees,Bottom right.,EU0136,https://collections.ed.ac.uk/art/./record/525?highlight=*:*,77.5x59.6 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled,1979,20th century; 1970s,Abstract grey and black wash.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style),Signed and dated on the bottom left.,EU0142,https://collections.ed.ac.uk/art/./record/659?highlight=*:*,76.2x55.8 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Silent Landscape,1975,20th century; 1970s,Stylised white landscape with black and blue features and black sky,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style); landscapes (representations),NA,EU0125,https://collections.ed.ac.uk/art/./record/644?highlight=*:*,137.2x243.8 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Motifs in Search of a Composition,1971,20th century; 1970s,Abstract washed out pale grey drips,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),In monogram.,EU0141,https://collections.ed.ac.uk/art/./record/570?highlight=*:*,37x31.9 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Border Red (Kabluna Series),1976,20th century; 1970s,Abstract with brick red and black colour blocks. The Kabluna figure/landscape motif first appeared in a painting of that name in 1947.,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),On reverse.,EU0116,https://collections.ed.ac.uk/art/./record/656?highlight=*:*,70x90 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled,1943-1944,20th century; 1940s,Abstract black wash with turquoise and red.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); visual works (works); paintings (visual works); ink wash paintings; watercolours (paintings),Signed and dated on the bottom.,EU0137,https://collections.ed.ac.uk/art/./record/519?highlight=*:*,19x33 cm,NA,NA
Ian G. Robertson,Abstract with Blue Stripes (quadriptych),1969,20th century; 1960s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); acrylic; Abstract (fine arts style),NA,EU3126,https://collections.ed.ac.uk/art/./record/22571?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Green Fields With Hayricks,1957,20th century; 1950s,Stylised fieldscape comprising green oblong left with haystacks and black oblong right.,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0107,https://collections.ed.ac.uk/art/./record/440?highlight=*:*,76.2x63.5 cm,NA,NA
Ronald D. Forbes (b.1947),Seated Figures and Flight of Stairs,1968,20th century; 1960s,Abstract painting,acrylic paint/paint (coating),Art Collection; Edinburgh College of Art,paintings (visual works); acrylic; Abstract (fine arts style),NA,EU3075,https://collections.ed.ac.uk/art/./record/22521?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract grey wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in red and monogram.,EU0160,https://collections.ed.ac.uk/art/./record/613?highlight=*:*,77.4x55.9 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled,1971,20th century; 1970s,Two central horizontal bars.,ink/coating (material)/materials (substances); watercolour (paint)/paint (coating); cardboard/paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); visual works (works); paintings (visual works); watercolours (paintings),"Signed in monogram, inscribed 'For H from WJ' on the bottom right.",EU0145,https://collections.ed.ac.uk/art/./record/500?highlight=*:*,24.7x29.2 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Grey Form,NA,20th century,Abstract grey wash with black drips,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style),NA,EU0126,https://collections.ed.ac.uk/art/./record/587?highlight=*:*,33.5x24.2 cm,NA,NA
Ann F Ward,Untitled - Cubist Guitar Player,1963,20th century; 1960s,"Print in blue orange, green, black and white of a guitar player that resembles Piccasso and Braque's cubist works.",Print,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; Abstract (fine arts style),NA,EU4114,https://collections.ed.ac.uk/art/./record/99350?highlight=*:*,NA,NA,NA
Chloe E Brayn,Untitled - Abstract Woman,1963,20th century; 1960s,Abstract print of a woman who is hunched over with her hand in a bag and another woman with her back to the viewer in the background.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,the '63' is written on the blue sticker.,EU4138,https://collections.ed.ac.uk/art/./record/99374?highlight=*:*,NA,NA,NA
John Mitchell,Untitled - Abstract Portrait of King,1961,20th century; 1960s,Abstact print of a bearded king or emperor wearing a crown with another sitting on a shelf in the foreground and looking back at a figure in the left rear.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4130,https://collections.ed.ac.uk/art/./record/99366?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Drawing,NA,20th century,black pen and ink wash with red marking top right,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); ink; paintings (visual works),"Signed in monogram in red, second signature blotted out, inscribed 'HS' on reserve.",EU0168,https://collections.ed.ac.uk/art/./record/643?highlight=*:*,76.8x57.1,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract wash with blocks in black and red,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,Abstract (fine arts style); paintings (visual works); watercolours (paintings),Signed in monogram.,EU0166,https://collections.ed.ac.uk/art/./record/449?highlight=*:*,77.5x57.1 cm,NA,NA
Shirley Brown,Untitled,NA,NA,NA,oil paint (paint)/paint (coating),Art Collection; Edinburgh College of Art,Abstract (fine arts style); paintings (visual works),NA,EU3072,https://collections.ed.ac.uk/art/./record/22518?highlight=*:*,NA,NA,NA
Willie Rodger (b.1930),Scraps,NA,20th century,"Abstract of red and black shapes, showing an untidy pile of metal anchors against a green-grey background.",paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); anchors (watercraft equipment); prints (visual works); linocuts (prints); print 1940-2000,NA,EU0325,https://collections.ed.ac.uk/art/./record/19500?highlight=*:*,34.5 x 54.5 visible 54 x 73 frame,NA,NA
Mohamed Ounouh (b.1964),Untitled (toasting fork),1991,20th century; 1990s,"abstract tribal with thick black lines creating a central white square with a form of lines in there, possibly representing a person.",acrylic paint/paint (coating); hardboard/wood board/plant material/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,NA,EU1021,https://collections.ed.ac.uk/art/./record/20189?highlight=*:*,NA,abstract,NA
Ian G. Robertson,Abstract Composition with Blue Stripes,1969,20th century; 1960s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style); paintings (visual works); acrylic,NA,EU3117,https://collections.ed.ac.uk/art/./record/22562?highlight=*:*,NA,NA,NA
Joan E. Smith,Blue and Black Grid,NA,NA,NA,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style); paintings (visual works); oil paintings (visual works),NA,EU3105,https://collections.ed.ac.uk/art/./record/22550?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Laidlaw Steel,1973,20th century; 1970s,Abstract wash in brown and pale slate blue,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),"Signed in monogram, and dated on bottom right.",EU0148,https://collections.ed.ac.uk/art/./record/542?highlight=*:*,26x24.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Birth of Venus,1980,20th century; 1980s,Washes of greys and turquoise with small spots of red and green,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0123,https://collections.ed.ac.uk/art/./record/524?highlight=*:*,193x137.2 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Landscape,NA,20th century,"Abstract wash of landscape in grey, dusky orange, acid yellow and blue",watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style); landscapes (representations),Unsigned.,EU0150,https://collections.ed.ac.uk/art/./record/642?highlight=*:*,59.1x41.9 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1979,20th century; 1970s,Abstract black and grey wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed and dated.,EU0167,https://collections.ed.ac.uk/art/./record/586?highlight=*:*,77.5x57.1 cm,NA,NA
Leslie McConnell,Untitled - Abstract Collage,1969,20th century; 1960s,"Abstract collage of cut paper, gouache, graphite, and charcoal with three half orbs stacked at the centre over a blue mountainesque object.",mixed media/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); pencil drawings; charcoal drawings; watercolours (paintings); gouache,'168' on bottom right of frame,EU4172,https://collections.ed.ac.uk/art/./record/99408?highlight=*:*,NA,NA,NA
Susan Jane Mowatt,Untitled - Two Girls On a Walk,1987,20th century; 1980s,Abstract print of two girls dressed in pink dresses walking on the right in a simple landscape with the sun and moon.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); print 1940-2000; prints (visual works),NA,EU4178,https://collections.ed.ac.uk/art/./record/99414?highlight=*:*,NA,NA,NA
Joanne Leonie Milne,Untitled - Abstract Blue and Red Shapes,1989,20th century; 1980s,An abstract print of red and teal rectangular shapes.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4151,https://collections.ed.ac.uk/art/./record/99387?highlight=*:*,NA,NA,NA
John Brown,The Misadventure,1989,20th century; 1980s,"Abstract black-and-white print of plaques decorating a wall, one of which is of a sailing ship.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4232,https://collections.ed.ac.uk/art/./record/99468?highlight=*:*,NA,NA,NA
Unknown,Unknown (French Streetscene),NA,20th century; 21st century,"Abstract view of a street showing a road and shop in the foreground and a tall building with windows and chimneys in the background. The shop sign says ""NON!"" and above or just behind it is a large shape in whites, pale greys, blues and yellows.",acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); Built Environment (hierarchy name); paintings (visual works); acrylic; street scenes,NA,EU3988,https://collections.ed.ac.uk/art/./record/99228?highlight=*:*,NA,NA,NA
Joanna De Pear,Big Black Crow Valley,1988,20th century; 1980s,Abstract print of a field of crows and a tree in bright vibrant tropical colours.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,'3/10' - on bottom left.,EU4228,https://collections.ed.ac.uk/art/./record/99464?highlight=*:*,NA,NA,NA
Monika L I Uecker,Untitled - Children Playing,1963,20th century; 1960s,"Abstract black-and-white print of three children playing outside amoung miniature trees, farm animals and village, with a train on tracks wrapping along the left and back sides.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works),NA,EU4209,https://collections.ed.ac.uk/art/./record/99445?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Roaming in the Gloaming,1972,20th century; 1970s,Abstract black wash with small red area.,ink/coating (material)/materials (substances); cardboard/paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); visual works (works); ink wash paintings; paintings (visual works),"Signed and dated,title inscribed on reverse.",EU0133,https://collections.ed.ac.uk/art/./record/588?highlight=*:*,16.5x23.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Grey Form,1976,20th century; 1970s,"Grey central wash, red writing bottom right.",ink/coating (material)/materials (substances); paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),"In monogram bottom right. Signed in monogram and inscribed '' For Hope, chistmas, 1976''",EU0134,https://collections.ed.ac.uk/art/./record/645?highlight=*:*,45.7x35.5 cm,NA,NA
Jean M. Marshall,Untitled - Circus Rider and Horse,1963,20th century; 1960s,Abstract print in with a female circus performer in blue riding a horse around the ring while a clown looks on from the left side.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4128,https://collections.ed.ac.uk/art/./record/99364?highlight=*:*,NA,NA,NA
Norman Thom,Lovers and birds,1963,20th century; 1960s,"Abstract print in browns, greens and red with a sun in the centre, a small church in the foreground, a bird on the bottom left and the shadow of a figure on the right.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4182,https://collections.ed.ac.uk/art/./record/99418?highlight=*:*,NA,NA,NA
Joanne Leonie Milne,"Untitled - Abstract Green, Purple and Brown Shapes",1989,20th century; 1980s,"An abstract print of green, purple and brown lines and shapes.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4152,https://collections.ed.ac.uk/art/./record/99388?highlight=*:*,NA,NA,NA
Gwendolene E Roger,Untitled - Girl with Crows,1961-1962,20th century; 1960s,Abstract print in black and white with accents in orange of a girl walking out of the darkness surounded by flying crows which swirl around her.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4163,https://collections.ed.ac.uk/art/./record/99399?highlight=*:*,NA,NA,NA
George H McIntosh,Untitled - Abstract Male,1960,20th century; 1960s,Print in dark moody colors of a roughly drawn man sitting in a chair.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000; portrait,NA,EU4160,https://collections.ed.ac.uk/art/./record/99396?highlight=*:*,NA,NA,NA
William Gillon,Untitled - Abstract Crowd Scene,1964-1965,20th century; 1960s,Abstract painting in dark gouache washes of a crowd of onlookers with a man bent over in the cenre.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4241,https://collections.ed.ac.uk/art/./record/99477?highlight=*:*,Measured without frame,NA,NA
James B. Thomson,Untitled - Greenhouse,1965-1966,20th century; 1960s,"Painting in browns, pinks, and purple gouche of the interior of a greenhouse with details in pen and ink, two figures in the centre look at plants, while another stands by the door.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); pen and wash drawings; drawings 1901-2000; paintings (visual works); ink; paintings 1901-2000; watercolours (paintings); gouache,NA,EU4212,https://collections.ed.ac.uk/art/./record/99448?highlight=*:*,NA,NA,NA
James B. Thomson,Untitled - Figures and Bicycles in the City,1965-1966,20th century; 1960s,Chalk with details in crayon and gouache of a blue and yellow abstract city with large windows and flowers with figures with bicycles and umbrellas in the foreground.,chalk,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); cityscapes (representations); drawings (visual works); pastel; gouache,NA,EU4214,https://collections.ed.ac.uk/art/./record/99450?highlight=*:*,NA,NA,NA
Lindsay R S Gordon,Untitled - Abstract Stripes,1972,20th century; 1970s,"Drawing on graph paper in charcola, pastel, and ink or geometric lines and stripes of color of various widths.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); charcoal drawings; drawings 1901-2000; pastel; ink,NA,EU4187,https://collections.ed.ac.uk/art/./record/99423?highlight=*:*,NA,NA,NA
Iona Murray,Untitled - Three Horse Riders,1963,20th century; 1960s,Print in black and white on blue paper of three men riding horses down the city street bearing a flag while pedestrians look on.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4167,https://collections.ed.ac.uk/art/./record/99403?highlight=*:*,NA,NA,NA
Alastair Burns,Untitled - Abstract Bridge and Ballons,1968,20th century; 1960s,Abstract painting in gouache with a bridge in the bottom centre and ballons floating above.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); gouache; paintings 1901-2000,NA,EU4238,https://collections.ed.ac.uk/art/./record/99474?highlight=*:*,NA,NA,NA
Penelope Low,Maize III,1979,20th century; 1970s,Abstract print of linear vertical shapes of various widths on a green background.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4236,https://collections.ed.ac.uk/art/./record/99472?highlight=*:*,NA,NA,NA
John H McKerrell,Untitled - Front of boat,1969,20th century; 1960s,"Abstract watercolour painting in black, white, and brown gouache of the front of a boat.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); boats; paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,The boat has a name painted on its side.,EU4120,https://collections.ed.ac.uk/art/./record/99356?highlight=*:*,NA,NA,NA
Lindsay R S Gordon,Untitled - Abstract Building,1972,20th century; 1970s,Abstract print in black and white on a grey ground of a building with geometrical forms.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); townscapes (representations); prints (visual works); print 1940-2000,NA,EU4186,https://collections.ed.ac.uk/art/./record/99422?highlight=*:*,NA,NA,NA
Leonore D Mackay,Untitled - Nude Male in the Forest,1963,20th century; 1960s,"Silkscreen print in browns, oranges, and green of a male nude sitting turned away surrounded by vegetation.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000; screen prints,NA,EU4159,https://collections.ed.ac.uk/art/./record/99395?highlight=*:*,NA,NA,NA
Norman Thom,Untitled - Two Birds,1963,20th century; 1960s,"Print in cream, grey, glue, black and green or two birds, one inside a cage and the other flying outside the window.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4181,https://collections.ed.ac.uk/art/./record/99417?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Forest Landscape,1965-1966,20th century; 1960s,An abstract drawing in pen and ink wash of a landscape with a forest in the middle and a road and fence in the foreground.,Pen and Wash/Drawing,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pen and wash drawings; ink; Abstract (fine arts style); landscapes (representations),NA,EU4155,https://collections.ed.ac.uk/art/./record/99391?highlight=*:*,NA,NA,NA
Jane Watt,Opuntia Lencotricha,1993-1994,20th century; 1990s,"Quick sketch in gouache, oil pastel, charcoal, and graphite of a species of green cactus, viewed close up.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); mixed media works; drawings (visual works); charcoal drawings; pastel; pencil drawings; drawings 1901-2000; watercolours (paintings); botany,'WP90 34' - written under old accession number.,EU4221,https://collections.ed.ac.uk/art/./record/99457?highlight=*:*,NA,NA,NA
Jane Watt,Opuntia Alburdina (America),1993-1994,20th century; 1990s,"Quick sketch in oil pastel, charcoal, and graphite of a brown green cactus from above, casting shadows.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); pastel; pencil drawings; charcoal drawings; drawings 1901-2000; botany,'WP90 31' - written under old accession number.,EU4224,https://collections.ed.ac.uk/art/./record/99460?highlight=*:*,NA,NA,NA
