ID,quality_police,quality_sheriff,quality_fire,quality_ems,quality_maintenance_streets,quality_travel_ease,quality_public_transport,quality_bike_path,quality_ped_path,quality_water_sewer,quality_parks_rec,quality_library,quality_pub_school,quality_of_life
6527,4,3,5,5,2,3,9,9,3,4,9,5,9,5
6528,3,9,9,9,2,3,3,3,3,4,4,4,9,5
6529,5,5,5,5,3,3,3,9,3,5,3,3,9,5
6531,9,9,9,9,4,4,3,1,2,3,9,4,9,5
6532,4,3,4,9,1,4,3,2,4,3,4,4,9,4
6533,5,5,5,5,3,2,9,1,4,4,3,4,4,5
6534,9,9,9,9,4,2,2,1,2,4,3,9,3,4
6535,9,9,9,9,4,5,9,3,3,3,4,9,9,5
6536,4,9,4,9,3,2,5,4,4,5,5,5,3,4
6539,4,4,4,9,3,2,3,3,3,3,3,3,1,4
6542,4,4,4,9,2,3,9,5,3,4,4,5,9,4
6543,4,4,4,4,4,2,2,4,4,4,4,4,9,4
6544,4,9,4,9,3,5,9,4,4,3,5,4,9,3
6546,3,3,4,5,4,4,5,4,4,5,3,9,2,3
6547,5,5,5,9,3,2,3,2,3,4,4,4,3,3
6548,9,9,9,9,9,2,9,2,2,4,4,5,2,3
6549,5,5,5,5,4,4,4,5,5,5,5,4,3,4
6551,5,5,5,5,4,3,5,5,5,5,5,5,5,5
6552,5,5,5,5,2,4,5,5,3,5,3,4,4,2
6557,3,3,3,3,4,4,2,2,2,4,3,5,4,5
6561,9,9,9,9,2,3,9,9,4,5,4,5,9,4
6577,4,9,4,9,1,4,4,2,2,3,4,4,2,4
6579,4,4,4,4,3,4,4,4,4,4,4,4,1,4
6582,5,5,5,5,4,5,5,5,5,5,5,5,5,5
6584,3,9,9,4,1,1,1,2,1,2,3,3,2,2
6588,4,4,5,4,1,2,9,3,4,3,4,5,3,5
6591,2,2,5,9,1,3,1,3,3,2,9,9,4,9
6592,4,3,4,4,4,4,9,3,2,3,4,4,9,4
6594,4,4,3,3,2,3,2,2,2,5,4,5,4,4
6595,9,9,9,9,1,1,3,3,3,4,4,1,9,4
6596,3,3,3,3,1,1,3,3,3,2,2,3,3,3
6597,4,9,4,9,4,4,9,3,4,4,4,4,4,5
6599,3,2,4,3,1,2,2,1,1,2,2,4,2,1
6600,3,3,4,9,2,4,9,1,1,4,3,4,1,4
6601,4,4,4,9,3,4,9,4,4,4,5,4,9,5
6602,5,9,9,4,4,4,9,2,3,4,5,5,9,5
6603,3,1,3,3,1,1,1,2,1,4,5,5,9,4
6604,3,3,3,9,4,4,9,3,3,4,4,4,9,4
6605,5,9,9,9,3,2,9,2,2,5,4,4,1,4
6606,4,3,4,4,4,4,3,3,3,4,5,5,4,5
6608,3,9,9,2,3,3,3,2,2,5,3,4,3,5
6612,4,4,4,4,2,3,9,3,2,3,4,4,9,4
6617,4,3,3,9,4,4,9,9,4,4,3,3,2,5
6620,3,4,5,5,3,5,5,5,5,5,3,5,3,3
6622,5,5,5,5,4,5,5,4,4,5,4,4,4,4
6624,4,4,4,4,2,2,3,4,2,1,3,4,2,3
6628,5,5,5,5,3,1,2,1,1,5,5,5,9,4
6631,5,5,5,5,3,3,3,3,5,5,3,3,9,3
6632,4,9,9,9,3,4,9,3,2,4,2,4,4,3
6633,3,3,3,3,3,3,3,4,4,4,2,4,3,4
6637,4,4,4,3,3,4,9,9,3,3,9,5,1,4
6638,4,4,4,4,3,3,3,4,9,4,4,9,9,4
6639,1,9,3,9,4,2,9,4,4,4,3,3,2,1
6640,2,3,5,5,4,4,5,3,3,4,5,5,4,3
6641,5,5,5,5,2,3,3,5,5,5,3,3,3,3
6642,2,3,5,5,1,2,4,3,4,4,5,5,1,2
6644,5,9,5,9,3,2,9,9,2,3,3,5,9,4
6645,3,3,3,3,5,5,3,3,4,2,4,3,3,5
6646,5,5,5,5,5,4,3,9,1,5,5,5,5,5
6650,3,3,4,5,3,3,3,2,3,5,4,4,3,4
6658,4,4,4,4,3,2,3,2,2,4,3,4,2,4
6663,4,4,4,4,3,2,3,4,3,4,4,4,4,4
6671,4,5,5,5,1,4,9,2,3,4,4,4,2,4
6685,3,3,4,9,3,4,9,9,2,3,3,4,9,3
6690,4,4,4,4,3,2,3,3,4,4,2,4,2,4
6694,9,9,4,9,3,4,2,2,2,9,4,5,9,4
6696,4,4,4,4,3,4,9,9,4,4,4,4,4,4
6699,5,5,5,9,3,3,9,9,9,3,4,5,9,4
6700,3,3,3,3,3,3,3,3,3,4,4,4,3,4
6701,4,9,3,4,2,4,3,4,4,1,4,4,4,5
6712,4,4,4,4,4,3,3,2,2,4,3,4,3,3
6719,3,3,4,3,1,2,9,9,3,9,9,4,2,4
6720,4,4,4,4,2,4,3,3,3,3,3,3,3,3
6724,4,4,4,5,2,4,3,4,2,4,4,5,4,5
6731,9,9,9,9,3,4,9,2,3,5,4,9,9,4
6736,3,3,3,3,1,2,9,9,3,3,9,3,9,3
6737,3,9,3,3,1,1,1,1,1,1,3,3,1,3
6739,3,9,9,9,4,4,3,2,2,9,9,9,9,5
6740,9,9,9,9,3,3,9,1,1,4,3,3,4,3
6750,3,2,4,4,3,4,2,2,2,5,3,4,2,3
6751,3,4,3,4,2,2,3,3,3,4,4,4,3,2
6759,3,9,9,9,1,2,9,9,9,3,3,9,9,2
6763,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6766,9,9,9,9,2,4,9,9,9,4,4,4,9,4
6768,9,9,9,9,9,3,3,3,3,9,3,4,3,2
6770,2,1,3,4,1,2,1,3,1,1,3,1,1,5
6772,4,4,4,3,2,2,2,1,2,3,1,1,1,2
6776,4,4,4,4,3,3,9,3,4,4,3,9,2,4
6778,4,3,4,9,3,5,4,4,3,2,3,4,3,4
6783,3,3,4,1,2,3,9,9,2,3,2,2,3,3
6784,4,4,4,3,2,4,9,2,2,4,4,5,9,4
6788,2,9,4,5,2,2,2,9,3,5,9,2,3,2
6790,9,9,9,9,3,3,9,9,9,4,9,9,9,4
6798,4,4,4,5,2,1,2,3,3,4,3,3,1,5
6799,4,9,9,9,4,4,9,9,4,4,9,9,9,4
6801,4,4,4,4,3,4,9,3,4,4,4,4,4,4
6804,4,4,4,9,2,4,4,2,4,3,4,4,2,4
6810,2,2,3,3,1,2,9,2,2,4,4,5,2,4
6811,3,3,3,4,3,4,2,2,2,3,4,3,3,4
6812,5,5,5,5,3,5,5,5,5,5,5,5,1,5
6815,2,3,9,9,1,2,2,2,2,9,3,1,2,3
6816,3,3,4,4,2,2,2,3,2,3,2,2,2,3
6818,4,4,5,4,2,4,2,3,2,4,3,4,3,4
6819,4,4,4,9,2,4,9,3,4,4,4,9,9,5
6820,4,4,4,4,2,5,9,3,2,4,4,9,9,4
6821,4,9,9,9,4,3,9,4,3,4,4,9,2,3
6822,9,9,9,9,4,5,9,9,4,5,4,5,9,5
6823,3,3,9,4,2,2,9,3,1,4,4,2,2,4
6824,2,2,3,2,4,3,3,4,4,4,4,4,2,4
6825,4,3,4,4,4,5,2,2,3,4,4,4,2,5
6826,4,4,4,3,3,3,4,4,3,3,3,3,4,3
6827,5,5,5,5,4,3,3,4,4,5,4,5,3,5
6828,3,3,3,9,2,2,9,1,1,3,4,9,9,5
6829,4,4,4,4,4,4,9,2,2,4,4,4,1,4
6830,3,3,3,5,2,3,1,2,3,3,4,3,3,4
6831,4,4,5,4,4,4,3,4,4,5,5,5,2,4
6834,3,3,3,3,4,4,4,4,4,4,3,4,3,4
6836,4,3,5,5,2,2,3,1,1,4,4,5,2,4
6841,1,1,2,3,1,1,2,2,2,2,2,4,1,1
6848,4,4,4,4,2,3,4,2,2,4,4,4,4,4
6854,4,4,9,9,3,3,9,9,9,3,9,9,3,4
6857,4,4,4,9,2,3,1,2,2,4,4,5,3,4
6862,5,5,9,9,9,9,9,9,9,9,9,9,9,5
6870,4,4,4,9,3,4,9,2,4,4,4,5,9,5
6873,9,9,9,9,2,4,3,2,3,4,3,2,9,4
6874,2,2,9,5,4,3,9,9,4,4,3,4,9,4
6875,4,4,4,4,1,3,9,3,1,3,3,4,9,4
6885,4,4,9,9,3,3,9,9,3,4,4,5,2,4
6888,1,1,1,2,1,1,4,3,3,2,3,3,2,3
6889,4,4,9,4,4,2,9,2,2,4,9,4,4,4
6890,5,5,5,5,4,9,9,9,4,4,4,5,4,5
6891,4,9,5,9,2,1,1,1,1,4,2,4,9,5
6893,4,4,4,4,4,4,9,3,4,4,3,4,4,5
6900,3,3,3,3,4,2,3,2,1,4,2,4,1,5
6901,3,3,9,9,2,4,9,9,4,4,9,9,9,5
6902,4,4,4,3,3,4,4,5,5,4,4,4,3,4
6904,4,4,5,5,4,4,4,4,4,4,4,5,4,4
6910,4,3,5,4,2,3,9,4,5,4,4,5,3,5
6911,3,3,9,9,3,3,9,9,9,3,4,4,9,3
6912,4,4,4,4,3,3,2,3,3,4,3,4,9,4
6913,4,4,4,4,2,1,4,2,3,4,3,4,3,4
6914,2,2,4,4,1,2,4,4,2,4,4,4,4,2
6915,3,3,3,9,4,3,3,3,4,3,4,4,9,4
6916,5,4,4,9,4,3,3,3,4,4,4,5,3,5
6917,3,3,3,3,3,3,3,4,4,4,4,4,3,4
6918,3,3,3,3,4,3,3,3,4,3,3,3,3,4
6919,3,3,4,4,3,2,9,4,4,4,2,5,1,4
6920,4,4,4,5,3,4,4,4,3,4,4,4,3,5
6921,5,5,5,5,3,5,9,1,1,5,5,5,9,5
6922,4,4,4,5,3,3,9,2,1,9,3,4,1,4
6923,9,9,9,9,2,3,2,2,4,3,4,4,2,4
6924,3,3,3,3,3,4,9,2,2,3,3,3,3,4
6926,4,4,4,4,3,3,9,2,2,4,3,4,3,4
6937,5,5,5,5,2,3,9,1,2,5,9,9,1,5
6938,4,4,4,4,3,3,2,2,3,1,3,2,2,4
6939,9,9,9,9,3,3,2,1,3,3,4,5,2,5
6941,4,4,4,9,3,2,4,2,2,4,4,4,4,4
6942,3,2,4,3,2,2,2,4,2,3,4,2,3,5
6943,2,2,3,4,1,2,2,4,4,2,3,4,9,1
6944,4,4,4,4,2,3,2,2,2,3,4,4,9,4
6945,9,9,3,9,4,2,4,3,4,9,4,5,9,5
6946,4,4,4,4,2,3,3,4,3,4,4,4,4,4
6947,3,3,3,9,2,2,4,3,3,4,5,5,9,4
6948,4,3,3,4,3,2,3,2,2,4,5,5,4,4
